States,EVs sold from 2015-2018,2015,2016,2017,2018
Alabama,11464,2825,2730,2889,3020
Alaska,1868,348,436,542,542
Arizona,44174,9045,9585,11003,14541
Arkansas,7091,1578,1847,1798,1868
California,765887,178380,169743,185395,232369
Colorado,37320,6634,7611,10320,12755
Connecticut,20422,3925,4692,5457,6348
Delaware,5434,1150,1330,1396,1558
Districtof,5481,1219,1334,1286,1642
Florida,115444,29331,26177,27880,32056
Georgia,47288,14620,9381,10037,13250
Hawaii,14181,2744,3682,3876,3879
Idaho,6423,1421,1518,1621,1863
Illinois,72030,15700,16424,18703,21203
Indiana,21584,4913,4591,5652,6428
Iowa,11204,2412,2611,2952,3229
Kansas,10237,2268,2431,2678,2860
Kentucky,11723,2773,2678,3098,3174
Louisiana,7826,1926,1680,2035,2185
Maine,6868,1519,1555,1684,2110
Maryland,44002,8713,9502,11662,14125
Massachusetts,47631,8986,10462,12171,16012
Michigan,36565,7483,8595,10139,10348
Minnesota,25042,4953,5624,6659,7806
Mississippi,4561,1083,952,1344,1182
Missouri,28445,5417,5781,8745,8502
Montana,4502,1074,1273,1142,1013
Nebraska,6359,1382,1480,1585,1912
Nevada,17805,3857,4308,4373,5267
NewHampshire,9026,1665,2038,2640,2683
NewJersey,51544,10390,11761,12607,16786
NewMexico,8715,1980,2064,2123,2548
NewYork,99881,21146,22202,26373,30160
NorthCarolina,43505,10460,9597,10767,12681
NorthDakota,1456,329,387,379,361
Ohio,44501,9515,9935,11665,13386
Oklahoma,42545,3435,7905,16179,15026
Oregon,43259,9376,10215,11416,12252
Pennsylvania,55972,11244,12958,14805,16965
RhodeIsland,4946,1024,1201,1343,1378
SouthCarolina,15219,3742,3508,3890,4079
SouthDakota,2143,464,472,611,596
Tennessee,20688,4787,4646,5211,6044
Texas,98930,22547,22179,24645,29559
Utah,16833,3357,3978,4273,5225
Vermont,6420,1323,1535,1862,1700
Virginia,49993,10445,10976,12864,15708
Washington,80406,16543,17409,21127,25327
WestVirginia,4264,911,985,1181,1187
Wisconsin,25327,5312,6457,6834,6724
Wyoming,1231,245,322,321,343
