Year,weather_main,count of hours
2015,Clear,6209
2015,Clouds,2028
2015,Drizzle,44
2015,Fog,18
2015,Haze,51
2015,Mist,36
2015,Rain,225
2015,Snow,41
2015,Thunderstorm,126
2016,Clear,6727
2016,Clouds,1608
2016,Drizzle,36
2016,Fog,12
2016,Haze,24
2016,Mist,34
2016,Rain,161
2016,Snow,70
2016,Thunderstorm,136
2017,Clear,6219
2017,Clouds,2146
2017,Drizzle,77
2017,Fog,5
2017,Haze,27
2017,Mist,16
2017,Rain,182
2017,Snow,17
2017,Thunderstorm,83
2018,Clear,6809
2018,Clouds,1635
2018,Drizzle,95
2018,Fog,8
2018,Haze,22
2018,Mist,18
2018,Rain,137
2018,Snow,34
2018,Thunderstorm,4
