Year,weather_main,count of hours
2015,Clear,4437
2015,Clouds,3198
2015,Drizzle,11
2015,Fog,79
2015,Haze,67
2015,Mist,618
2015,Rain,220
2015,Snow,152
2015,Thunderstorm,8
2016,Clear,4317
2016,Clouds,3170
2016,Drizzle,3
2016,Fog,101
2016,Haze,37
2016,Mist,734
2016,Rain,89
2016,Snow,342
2016,Thunderstorm,6
2017,Clear,4516
2017,Clouds,3327
2017,Fog,127
2017,Haze,44
2017,Mist,734
2017,Rain,14
2017,Snow,7
2017,Thunderstorm,4
2018,Clear,4329
2018,Clouds,3263
2018,Drizzle,7
2018,Fog,60
2018,Haze,52
2018,Mist,771
2018,Rain,133
2018,Snow,163
2018,Thunderstorm,13
