,Year,Weather Condition,Days
0,2015,Clear,158.3
1,2015,Clouds,152.9
2,2015,Fog/Mist,35.0
3,2015,Rain,20.8
4,2015,Smoke/Haze,2.0
5,2015,Snow,8.3
6,2016,Clear,159.8
7,2016,Clouds,152.7
8,2016,Fog/Mist,36.8
9,2016,Rain,20.0
10,2016,Smoke/Haze,1.6
11,2016,Snow,6.5
12,2017,Clear,138.9
13,2017,Clouds,157.7
14,2017,Fog/Mist,48.6
15,2017,Rain,26.4
16,2017,Smoke/Haze,1.7
17,2017,Snow,6.7
18,2018,Clear,133.9
19,2018,Clouds,167.6
20,2018,Fog/Mist,47.6
21,2018,Rain,25.1
22,2018,Smoke/Haze,0.4
23,2018,Snow,10.0
