Year,weather_main,count of hours
2015,Clear,6267
2015,Clouds,1939
2015,Fog,71
2015,Haze,36
2015,Mist,90
2015,Rain,263
2015,Smoke,7
2015,Snow,62
2015,Thunderstorm,39
2016,Clear,6105
2016,Clouds,2232
2016,Drizzle,105
2016,Fog,9
2016,Haze,15
2016,Mist,35
2016,Rain,164
2016,Snow,104
2016,Thunderstorm,23
2017,Clear,5946
2017,Clouds,2013
2017,Drizzle,109
2017,Fog,105
2017,Haze,158
2017,Mist,94
2017,Rain,133
2017,Snow,189
2017,Thunderstorm,15
2018,Clear,6053
2018,Clouds,2273
2018,Drizzle,54
2018,Fog,13
2018,Haze,96
2018,Mist,30
2018,Rain,128
2018,Snow,101
2018,Thunderstorm,22
